"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","85","Test with nested steps (RAII - automatic cleanup)","","2025-11-26","passed","2025-11-26","","NewFeaturesTestSuite","",""
"","0","Test with multiple assertions","","2025-11-26","passed","2025-11-26","","ComplexTestSuite","",""
"","0","STRCMP no-case failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","STRCMP contains failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Pointer comparison failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Memory comparison failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","19","Test with parameter: 30","","2025-11-26","passed","2025-11-26","","ParametricTestSuite","",""
"","0","Check compare failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","STRNCMP failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Function pointer comparison failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Unsigned longs failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Bits comparison failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Test division operation","","2025-11-26","passed","2025-11-26","","CalculatorTestSuite","",""
"","0","Product defect - calculation error","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Generic check failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","68","Test with deeply nested substeps","","2025-11-26","passed","2025-11-26","","NewFeaturesTestSuite","",""
"","0","Another product failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Check equal failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Test Fibonacci sequence","","2025-11-26","passed","2025-11-26","","CalculatorTestSuite","",""
"","0","Test prime number detection","","2025-11-26","passed","2025-11-26","","CalculatorTestSuite","",""
"","0","Test demonstrating status provider","","2025-11-26","passed","2025-11-26","","BasicTestSuite","",""
"","0","Test multiplication operation","","2025-11-26","passed","2025-11-26","","CalculatorTestSuite","",""
"","0","Explicit fail","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Longs comparison failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Test subtraction operation","","2025-11-26","passed","2025-11-26","","CalculatorTestSuite","",""
"","55","Simple passing test","","2025-11-26","passed","2025-11-26","","BasicTestSuite","",""
"","1","Known issue test","","2025-11-26","failed","2025-11-26","","NewFeaturesTestSuite","",""
"","0","Test with multiple steps","","2025-11-26","passed","2025-11-26","","BasicTestSuite","",""
"","0","Double comparison failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Byte comparison failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Muted test example","","2025-11-26","failed","2025-11-26","","NewFeaturesTestSuite","",""
"","0","Check with message failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Test with nested operations","","2025-11-26","passed","2025-11-26","","ComplexTestSuite","",""
"","0","Check throws failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Test addition operation","","2025-11-26","passed","2025-11-26","","CalculatorTestSuite","",""
"","23","Flaky test example","","2025-11-26","passed","2025-11-26","","NewFeaturesTestSuite","",""
"","0","Broken test - runtime error","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
"","0","Check false failure","","2025-11-26","failed","2025-11-26","","FailureExamplesTestSuite","",""
