"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","23","","7","0","","0"
"0","","0","Arithmetic","1","0","User can subtract two numbers","0"
"0","","0","Number Theory","1","0","User can calculate Fibonacci numbers","0"
"0","","0","Modern C++17 API","1","0","User can use format strings in step names","0"
"0","","0","Data Structures","1","0","User can manipulate collections with validation","0"
"0","","0","Arithmetic","1","0","User can add two numbers","0"
"0","","0","Step-by-Step Execution","1","0","User can track test execution with detailed steps","0"
"0","","0","Basic Operations","1","0","User can execute simple tests","0"
"0","","0","Number Theory","1","0","User can check if a number is prime","0"
"0","","0","Arithmetic","1","0","User can multiply two numbers","0"
"0","","0","Arithmetic","1","0","User can divide two numbers","0"
"0","","0","String Operations","1","0","User can validate string properties","0"
